id,side,force,commander,units,date_start,date_end,event_type,from_place,to_place,action_place,description,confidence,source,note
1,Boer,OFS commandos (Rouxville & Thaba Nchu),Gen. Jan Hendrik Olivier,Olivier (OFS commandos),1899-11-13,1899-11-13,capture,Orange River frontier,Aliwal North,Aliwal North,Boer OFS commandos cross the Orange and capture Aliwal North,high,Wikipedia: Jan Hendrik Olivier,
2,Boer,OFS commandos,Gen. Jan Hendrik Olivier,Olivier (OFS commandos),1899-11-13,1899-12-10,advance,Aliwal North,Stormberg Junction,Stormberg,Boers occupy Stormberg junction and range through Colesberg/Barkly East/Dordrecht districts,high,Wikipedia: Jan Hendrik Olivier,Regional invasion command above Olivier sometimes given as E.E. Grobler
3,British,3rd Division,Lt-Gen Sir William Gatacre,Gatacre (3rd Division),1899-12-09,1899-12-09,rail_move,Queenstown,Molteno,Molteno,Gatacre entrains his force to Molteno the nearest British-held railhead to Stormberg,high,britishbattles.com; historyofwar.org,
4,British,3rd Division column,Lt-Gen Sir William Gatacre,Gatacre (3rd Division),1899-12-09,1899-12-10,engagement,Molteno,Stormberg Junction,Stormberg,Night march to storm the Kissieberg goes astray (lost guides + route change); British defeated,high,britishbattles.com; historyofwar.org; Wikipedia: Battle of Stormberg,British strength engaged was below 2600 (some detachments failed to arrive)
5,Boer,Stormberg defenders,Gen. Jan Hendrik Olivier,Olivier (OFS commandos),1899-12-10,1899-12-10,engagement,Stormberg Junction,,Stormberg,Boers hold the Kissieberg and repel Gatacre; one of the three Black Week defeats,high,britishbattles.com; Wikipedia: Battle of Stormberg,Boer strength disputed (~800 / 1700 / ~2300) - headcount NOT reliable
6,British,3rd Division (losses),Lt-Gen Sir William Gatacre,Gatacre (3rd Division),1899-12-10,1899-12-10,defeat,Kissieberg (Stormberg),Molteno,Molteno,British retreat; 13 officers and 548 men captured plus killed/wounded; at least one gun lost,high,britishbattles.com; Wikipedia: Battle of Stormberg,Prisoner total 548 vs missing ~600-696 across sources; 1 vs 2 guns lost
7,Boer,Kritzinger commando (1st invasion),"Kritzinger, Cmdt P.H.",Kritzinger commando,1900-12-01,1901-04-29,raid,Venterstad,Cradock,Venterstad,First Cape invasion - long looping raid through the Karoo/Midlands; exits near Bethulie 29 Apr 1901,high,SAMHS vol017ng; Wikipedia: P.H. Kritzinger,Start strength & exact first-crossing date REFUTED/uncertain; force split at Maraisburg
8,Boer,Scheepers commando,Cmdt Gideon Scheepers,Scheepers commando,1900-12-16,1901-10-12,raid,Orange River frontier,near Prince Albert,Graaff-Reinet,Enters with Kritzinger then wide-ranging Midlands guerrilla operations until capture,high,SAMHS jnl2 vol185gs; Wikipedia: Gideon Scheepers,
9,Boer,Scheepers commando,Cmdt Gideon Scheepers,Scheepers commando,1901-10-10,1901-10-12,capture,Cape Midlands,near Prince Albert,Prince Albert,Scheepers captured (later tried and executed),high,Wikipedia: Gideon Scheepers; SAMHS jnl2 vol185gs,Date given as ~10-12 Oct 1901
10,Boer,Kritzinger commando (2nd invasion),"Kritzinger, Cmdt P.H.",Kritzinger commando,1901-05-16,1901-06-30,raid,Norvalspont/Orange River,Middelburg (Cape),Steynsburg,Second invasion with reinforcements; route partly aggregates a 3-way commando split,medium,SAMHS vol017ng; Wikipedia: P.H. Kritzinger,Re-entry date 16 May (SAMHS) vs 19 May (Wikipedia); Tarkastad leg was Lotter's
11,Boer,Kritzinger commando,"Kritzinger, Cmdt P.H.",Kritzinger commando,1901-06-02,1901-06-02,capture,Steynsburg district,Jamestown,Jamestown,Kritzinger's commando captures Jamestown after a fight,high,SAMHS vol017ng; Wikipedia: P.H. Kritzinger,
12,British,Doran's column,Lt-Col Beauchamp Doran,Doran's column,1901-12-16,1901-12-16,engagement,Noupoort-De Aar blockhouse line,Fransmanskop (near Hanover),Hanover,Kritzinger wounded & captured charging the Noupoort-De Aar blockhouse line in daylight,high,SAMHS vol017ng; Wikipedia: P.H. Kritzinger,Physical capture credited to 3rd Bn Grenadier Guards; Doran directing commander
